30^"32,1"^"CTL/Set Instance ID Request/Instance"^50900^-1^0
30^"34,1"^"CTL/Get Client ID Request/Type"^50905^-1^0
30^"35,1"^"CTL/Release Client ID Request/ID"^50906^-1^0
30^"38,1"^"CTL/Set Data Format Request/Format"^50907^-1^0
30^"38,16"^"CTL/Set Data Format Request/Protocol"^50908^-1^0
30^"40,1"^"CTL/Set Event Report Request/Report"^50909^-1^0
30^"41,1"^"CTL/Set Power Save Config Request/Descriptor"^50911^-1^0
30^"41,17"^"CTL/Set Power Save Config Request/Permitted Set"^50912^-1^0
30^"42,1"^"CTL/Set Power Save Mode Request/Mode"^50913^-1^0
31^"32,1"^"CTL/Set Instance ID Response/Link"^50901^-1^0
31^"32,2"^"CTL/Set Instance ID Response/Result Code"^50000^-1^0
31^"33,1"^"CTL/Get Version Info Response/List"^50902^-1^0
31^"33,2"^"CTL/Get Version Info Response/Result Code"^50000^-1^0
31^"33,16"^"CTL/Get Version Info Response/Addendum"^50904^-1^0
31^"34,1"^"CTL/Get Client ID Response/ID"^50906^-1^0
31^"34,2"^"CTL/Get Client ID Response/Result Code"^50000^-1^0
31^"35,1"^"CTL/Release Client ID Response/ID"^50906^-1^0
31^"35,2"^"CTL/Release Client ID Response/Result Code"^50000^-1^0
31^"38,2"^"CTL/Set Data Format Response/Result Code"^50000^-1^0
31^"38,16"^"CTL/Set Data Format Response/Protocol"^50908^-1^0
31^"40,2"^"CTL/Set Event Report Response/Result Code"^50000^-1^0
31^"41,2"^"CTL/Set Power Save Config Response/Result Code"^50000^-1^0
31^"42,2"^"CTL/Set Power Save Mode Response/Result Code"^50000^-1^0
31^"43,1"^"CTL/Get Power Save Mode Response/Mode"^50913^-1^0
31^"43,2"^"CTL/Get Power Save Mode Response/Result Code"^50000^-1^0
32^"36,1"^"CTL/Release Client ID Indication/ID"^50906^-1^0
32^"37,1"^"CTL/Invalid Client ID Indication/ID"^50906^-1^0
32^"40,1"^"CTL/Event Report Indication/Report"^50910^-1^0
33^"1,16"^"WDS/Set Event Report Request/Channel Rate Indicator"^50010^-1
33^"1,17"^"WDS/Set Event Report Request/Transfer Statistics Indicator"^50011^-1
33^"1,18"^"WDS/Set Event Report Request/Data Bearer Technology Indicator"^50012^-1
33^"1,19"^"WDS/Set Event Report Request/Dormancy Status Indicator"^50041^-1
33^"1,20"^"WDS/Set Event Report Request/MIP Status Indicator"^50087^-1
33^"1,21"^"WDS/Set Event Report Request/Current Data Bearer Technology Indicator"^50012^-1
33^"2,1"^"WDS/Abort Request/Transaction ID"^50001^-1
33^"32,16"^"WDS/Start Network Interface Request/Primary DNS"^50021^-1
33^"32,17"^"WDS/Start Network Interface Request/Secondary DNS"^50021^-1
33^"32,18"^"WDS/Start Network Interface Request/Primary NBNS"^50021^-1
33^"32,19"^"WDS/Start Network Interface Request/Secondary NBNS"^50021^-1
33^"32,20"^"WDS/Start Network Interface Request/Context APN Name"^50022^-1
