# U.S. BRAILLE TABLE
#
# Dec  Hex    Braille      Description
# ------------------------------------------------------------------------
   0   00    (---4--78)    NUL
   1   01    (1-----78)    SOH
   2   02    (12----78)    STX
   3   03    (1--4--78)    ETX
   4   04    (1--45-78)    EOT
   5   05    (1---5-78)    ENQ
   6   06    (12-4--78)    ACK
   7   07    (12-45-78)    BEL
   8   08    (12--5-78)    BS
   9   09    (-2-4--78)    HT
  10   OA    (-2-45-78)    LF
  11   0B    (1-3---78)    VT
  12   OC    (123---78)    FF
  13   0D    (1-34--78)    CR
  14   0E    (1-345-78)    SO
  15   OF    (1-3-5-78)    SI
  16   10    (1234--78)    DLE
  17   11    (12345-78)    DC1
  18   12    (123-5-78)    DC2
  19   13    (-234--78)    DC3
  20   14    (-2345-78)    DC4
  21   15    (1-3--678)    NAK
  22   16    (123--678)    SYN
  23   17    (-2-45678)    ETB
  24   18    (1-34-678)    CAN
  25   19    (1-345678)    EM
  26   1A    (1-3-5678)    SUB
  27   lB    (-2-4-678)    ESC
  28   lC    (12--5678)    FS
  29   1D    (12-45678)    GS
  30   lE    (---45-78)    RS
  31   1F    (---45678)    US
  32   20    (--------)    Space
  33   21    (-234-6--)    !
  34   22    (----5---)    "
  35   23    (--3456--)    #
  36   24    (12-4-6--)    $
  37   25    (1--4-6--)    %
  38   26    (1234-6--)    &
  39   27    (--3-----)    '
  40   28    (123-56--)    (
  41   29    (-23456--)    )
  42   2A    (1----6--)    *
  43   2B    (--34-6--)    +
  44   2C    (-----6--)    ,
  45   2D    (--3--6--)    -
  46   2E    (---4-6--)    .
  47   2F    (--34----)    /
  48   30    (--3-56--)    0
  49   31    (-2------)    1
  50   32    (-23-----)    2 
  51   33    (-2--5---)    3
  52   34    (-2--56--)    4
  53   35    (-2---6--)    5
  54   36    (-23-5---)    6
  55   37    (-23-56--)    7
  56   38    (-23--6--)    8
  57   39    (--3-5---)    9
  58   3A    (1---56--)    :
  59   3B    (----56--)    ;
  60   3C    (12---6--)    <
  61   3D    (123456--)    -
  62   3E    (--345---)    >
  63   3F    (1--456--)    ?
  64   40    (---4--7-)    @
  65   41    (1-----7-)    A
  66   42    (12----7-)    B
  67   43    (1--4--7-)    C
  68   44    (1--45-7-)    D
  69   45    (1---5-7-)    E
